Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1073265298,96948306,2507232,98667702,406280,11275040,2753044(Total)
0,33292,1521548,67844,1461404,391804,16758,1435980(Miss)
0,1073232006,95426758,2439388,97206298,14476,11258282,1317064(Hit)
1,83741882,10640994,5998090,10443216,166096,10666068,123760(Total)
1,29526,0,2548,59136,162260,6469666,0(Miss)
1,83712356,10640994,5995542,10384080,3836,4196402,123760(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,3047016,98657944,8334088,0,410774,11354098,2778356(Total)
0,14406,1471876,4750270,154,403648,13412,1359946(Miss)
0,3032610,97186068,3583818,0,7126,11340686,1418410(Hit)
1,6665526,10684786,0,27762,166208,10678220,121506(Total)
1,336,289940,0,27860,163758,6227466,0(Miss)
